NUTS2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ES42,21743.6,23641.81,25423.4,27577.92,29556.98,32301.14,35198.7,38370.69,39926.25,38582.47,38706.52,38259,36887.74,36187.44,35394.64,37138.56,38314.43,39897.18,41481.21,42399.21,39346.16,42852.15
ES43,10749.71,11516.54,12264.66,13121.58,14030.31,15264.89,16307.17,17564,18249.8,17829.79,18135.75,17737.72,17063.58,17075.53,17045.08,17915.14,18504.83,19538.77,20091.94,20478.51,18840.74,20650.16
ES51,122427.63,132652.96,141547.17,151491.73,162355.03,174408.76,189001.42,202380.53,207716.13,200140.1,201706.24,198905.57,193435.83,192183.73,195575.33,204481.24,212655.65,221482.47,229082.63,238308.41,212611.53,232057.07
ES52,62717.43,68504.75,73298.37,78134.31,83658.7,90149.96,97829.61,104471.79,107508.78,101443.46,101201.45,99706.72,95170.73,94418.23,96446.39,100186.24,103220.18,107799.72,111743.34,115606.05,104753.97,114837.58
ES53,16545.29,17870.16,18874.75,19795.9,21120.51,22790.83,24689.77,26461.97,27574.68,26478.32,26535.06,26398.11,25977.11,25967.61,26811.82,28271.07,29826.69,31387.14,32740.74,33935.25,26198.08,30031.66
ES61,86568.52,93709.52,100949.82,109667.99,118492.85,128578.44,138536,148026.12,151227.36,144878.22,144751.86,143389.59,137997.13,136208.15,137908.88,144858.45,148401.18,155396.8,160586.36,164929.57,148779.63,164003.16
ES62,15717.03,17142.09,18638.34,20261.57,21772.59,23863.22,25934.18,27985.66,29098.34,27669.89,27912.8,27236.55,26507.59,26591,26739.79,28509.16,29367.27,30541.47,31093.78,32319.28,29775.65,32718.84
ES63,1017.44,1051.84,1107.99,1183.75,1251.4,1323.51,1419.72,1512.59,1562.5,1551.62,1578.35,1575.72,1525.44,1552.72,1544.96,1597.91,1636.47,1660.22,1720.56,1775.18,1654.81,1765.15
ES64,921.75,953.13,992.8,1059.21,1130.58,1203.19,1289.94,1353.89,1403,1396.89,1416.16,1417.28,1369.96,1390.77,1404.41,1462.46,1506.44,1520.12,1578.01,1625.23,1514.54,1617.04
ES70,26048.65,28352.73,30271.67,32396.81,34229.62,36631.5,39058.56,41425.16,42308.74,40295.98,40811.49,40595.34,39201.99,39074.03,39315.13,40595.5,42007.24,44209.24,45829.56,47182.6,38630.1,42843.09
