NUTS2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
HR03,1354490,1363190,1371890,1378357,1384187,1392937,1399795,1406970,1412009,1415015,1415971,1413426,1410551,1401384,1392690,1382089,1367338,1353140,1337048,1325462,1317600,1304875
HR05,805695,804487,803279,802071,800863,799655,798447,797239,796031,794823,793615,792407,791199,790038,788688,787622,784673,782586,778359,776237,774420,768895
HR06,928961,922966,916970,910975,904979,898984,892988,886993,880997,875002,869006,863011,857015,850687,845689,838696,829724,819498,808483,800177,795053,789083
ITC1,4225083,4219421,4212726,4222134,4260654,4284486,4296203,4306018,4358273,4389110,4401572,4410887,4416745,4425816,4420924,4403562,4384226,4370348,4349911,4328565,4311217,4274945
ITC2,118861,119273,119347,120383,121692,122799,123839,124636,125658,126515,126957,127153,127305,127951,128245,127972,127030,126677,126213,125653,125034,124089
ITC3,1587787,1578998,1570152,1568193,1572910,1580613,1580900,1580814,1583449,1589802,1591537,1592593,1590096,1587322,1580322,1569427,1557742,1551379,1541541,1532980,1524826,1518495
ITC4,8971148,9004084,9033909,9082295,9173501,9299835,9370827,9431541,9517477,9603804,9670614,9746113,9811011,9877541,9929769,9954769,9958447,9970419,9986962,10010833,10027602,9981554
ITF1,1261117,1261300,1262187,1267633,1278658,1287157,1292999,1296869,1311307,1321887,1326015,1329220,1331624,1332583,1329918,1325836,1319294,1313930,1306059,1300645,1293941,1281012
ITF2,322772,321468,320190,320381,320359,319728,318452,317337,317657,317082,315939,314816,313916,313408,312897,311398,310026,308400,306564,303790,300516,294294
ITF3,5717694,5708137,5699962,5704903,5731441,5759450,5763419,5766263,5785045,5792087,5807464,5822827,5827593,5820430,5812768,5804370,5790783,5776654,5762889,5740291,5712143,5624260
ITF4,4034887,4026054,4020694,4025113,4034841,4048188,4053780,4057440,4071244,4080149,4090111,4101558,4102797,4090530,4077788,4063269,4043735,4024067,4000966,3975528,3953305,3933777
